date,name,category,value
1898-01-01,Juventus,,0
1898-01-01,Inter,,0
1898-01-01,Milan,,0
1898-01-01,Genoa,,1
1898-01-01,Bologna,,0
1898-01-01,Torino,,0
1898-01-01,Pro Vercelli,,0
1898-01-01,Roma,,0
1898-01-01,Napoli,,0
1898-01-01,Lazio,,0
1898-01-01,Fiorentina,,0
1898-01-01,Sampdoria,,0
1898-01-01,Hellas Verona,,0
1898-01-01,Cagliari,,0
1898-01-01,Casale,,0
1898-01-01,Novese,,0
,,,
1899-01-09,Juventus,,0
1899-01-09,Inter,,0
1899-01-09,Milan,,0
1899-01-09,Genoa,,2
1899-01-09,Bologna,,0
1899-01-09,Torino,,0
1899-01-09,Pro Vercelli,,0
1899-01-09,Roma,,0
1899-01-09,Napoli,,0
1899-01-09,Lazio,,0
1899-01-09,Fiorentina,,0
1899-01-09,Sampdoria,,0
1899-01-09,Hellas Verona,,0
1899-01-09,Cagliari,,0
1899-01-09,Casale,,0
1899-01-09,Novese,,0
,,,
1900-01-01,Juventus,,0
1900-01-01,Inter,,0
1900-01-01,Milan,,0
1900-01-01,Genoa,,3
1900-01-01,Bologna,,0
1900-01-01,Torino,,0
1900-01-01,Pro Vercelli,,0
1900-01-01,Roma,,0
1900-01-01,Napoli,,0
1900-01-01,Lazio,,0
1900-01-01,Fiorentina,,0
1900-01-01,Sampdoria,,0
1900-01-01,Hellas Verona,,0
1900-01-01,Cagliari,,0
1900-01-01,Casale,,0
1900-01-01,Novese,,0
,,,
1901-01-01,Juventus,,0
1901-01-01,Inter,,0
1901-01-01,Milan,,1
1901-01-01,Genoa,,3
1901-01-01,Bologna,,0
1901-01-01,Torino,,0
1901-01-01,Pro Vercelli,,0
1901-01-01,Roma,,0
1901-01-01,Napoli,,0
1901-01-01,Lazio,,0
1901-01-01,Fiorentina,,0
1901-01-01,Sampdoria,,0
1901-01-01,Hellas Verona,,0
1901-01-01,Cagliari,,0
1901-01-01,Casale,,0
1901-01-01,Novese,,0
,,,
1902-01-01,Juventus,,0
1902-01-01,Inter,,0
1902-01-01,Milan,,1
1902-01-01,Genoa,,4
1902-01-01,Bologna,,0
1902-01-01,Torino,,0
1902-01-01,Pro Vercelli,,0
1902-01-01,Roma,,0
1902-01-01,Napoli,,0
1902-01-01,Lazio,,0
1902-01-01,Fiorentina,,0
1902-01-01,Sampdoria,,0
1902-01-01,Hellas Verona,,0
1902-01-01,Cagliari,,0
1902-01-01,Casale,,0
1902-01-01,Novese,,0
,,,
1903-01-01,Juventus,,0
1903-01-01,Inter,,0
1903-01-01,Milan,,1
1903-01-01,Genoa,,5
1903-01-01,Bologna,,0
1903-01-01,Torino,,0
1903-01-01,Pro Vercelli,,0
1903-01-01,Roma,,0
1903-01-01,Napoli,,0
1903-01-01,Lazio,,0
1903-01-01,Fiorentina,,0
1903-01-01,Sampdoria,,0
1903-01-01,Hellas Verona,,0
1903-01-01,Cagliari,,0
1903-01-01,Casale,,0
1903-01-01,Novese,,0
,,,
1904-01-01,Juventus,,0
1904-01-01,Inter,,0
1904-01-01,Milan,,1
1904-01-01,Genoa,,6
1904-01-01,Bologna,,0
1904-01-01,Torino,,0
1904-01-01,Pro Vercelli,,0
1904-01-01,Roma,,0
1904-01-01,Napoli,,0
1904-01-01,Lazio,,0
1904-01-01,Fiorentina,,0
1904-01-01,Sampdoria,,0
1904-01-01,Hellas Verona,,0
1904-01-01,Cagliari,,0
1904-01-01,Casale,,0
1904-01-01,Novese,,0
,,,
1905-01-01,Juventus,,1
1905-01-01,Inter,,0
1905-01-01,Milan,,1
1905-01-01,Genoa,,6
1905-01-01,Bologna,,0
1905-01-01,Torino,,0
1905-01-01,Pro Vercelli,,0
1905-01-01,Roma,,0
1905-01-01,Napoli,,0
1905-01-01,Lazio,,0
1905-01-01,Fiorentina,,0
1905-01-01,Sampdoria,,0
1905-01-01,Hellas Verona,,0
1905-01-01,Cagliari,,0
1905-01-01,Casale,,0
1905-01-01,Novese,,0
,,,
1906-01-01,Juventus,,1
1906-01-01,Inter,,0
1906-01-01,Milan,,2
1906-01-01,Genoa,,6
1906-01-01,Bologna,,0
1906-01-01,Torino,,0
1906-01-01,Pro Vercelli,,0
1906-01-01,Roma,,0
1906-01-01,Napoli,,0
1906-01-01,Lazio,,0
1906-01-01,Fiorentina,,0
1906-01-01,Sampdoria,,0
1906-01-01,Hellas Verona,,0
1906-01-01,Cagliari,,0
1906-01-01,Casale,,0
1906-01-01,Novese,,0
,,,
1907-01-01,Juventus,,1
1907-01-01,Inter,,0
1907-01-01,Milan,,3
1907-01-01,Genoa,,6
1907-01-01,Bologna,,0
1907-01-01,Torino,,0
1907-01-01,Pro Vercelli,,0
1907-01-01,Roma,,0
1907-01-01,Napoli,,0
1907-01-01,Lazio,,0
1907-01-01,Fiorentina,,0
1907-01-01,Sampdoria,,0
1907-01-01,Hellas Verona,,0
1907-01-01,Cagliari,,0
1907-01-01,Casale,,0
1907-01-01,Novese,,0
,,,
1908-01-01,Juventus,,1
1908-01-01,Inter,,0
1908-01-01,Milan,,3
1908-01-01,Genoa,,6
1908-01-01,Bologna,,0
1908-01-01,Torino,,0
1908-01-01,Pro Vercelli,,1
1908-01-01,Roma,,0
1908-01-01,Napoli,,0
1908-01-01,Lazio,,0
1908-01-01,Fiorentina,,0
1908-01-01,Sampdoria,,0
1908-01-01,Hellas Verona,,0
1908-01-01,Cagliari,,0
1908-01-01,Casale,,0
1908-01-01,Novese,,0
,,,
1909-01-01,Juventus,,1
1909-01-01,Inter,,0
1909-01-01,Milan,,3
1909-01-01,Genoa,,6
1909-01-01,Bologna,,0
1909-01-01,Torino,,0
1909-01-01,Pro Vercelli,,2
1909-01-01,Roma,,0
1909-01-01,Napoli,,0
1909-01-01,Lazio,,0
1909-01-01,Fiorentina,,0
1909-01-01,Sampdoria,,0
1909-01-01,Hellas Verona,,0
1909-01-01,Cagliari,,0
1909-01-01,Casale,,0
1909-01-01,Novese,,0
,,,
1910-01-01,Juventus,,1
1910-01-01,Inter,,1
1910-01-01,Milan,,3
1910-01-01,Genoa,,6
1910-01-01,Bologna,,0
1910-01-01,Torino,,0
1910-01-01,Pro Vercelli,,2
1910-01-01,Roma,,0
1910-01-01,Napoli,,0
1910-01-01,Lazio,,0
1910-01-01,Fiorentina,,0
1910-01-01,Sampdoria,,0
1910-01-01,Hellas Verona,,0
1910-01-01,Cagliari,,0
1910-01-01,Casale,,0
1910-01-01,Novese,,0
,,,
1911-01-01,Juventus,,1
1911-01-01,Inter,,1
1911-01-01,Milan,,3
1911-01-01,Genoa,,6
1911-01-01,Bologna,,0
1911-01-01,Torino,,0
1911-01-01,Pro Vercelli,,3
1911-01-01,Roma,,0
1911-01-01,Napoli,,0
1911-01-01,Lazio,,0
1911-01-01,Fiorentina,,0
1911-01-01,Sampdoria,,0
1911-01-01,Hellas Verona,,0
1911-01-01,Cagliari,,0
1911-01-01,Casale,,0
1911-01-01,Novese,,0
,,,
1912-01-01,Juventus,,1
1912-01-01,Inter,,1
1912-01-01,Milan,,3
1912-01-01,Genoa,,6
1912-01-01,Bologna,,0
1912-01-01,Torino,,0
1912-01-01,Pro Vercelli,,4
1912-01-01,Roma,,0
1912-01-01,Napoli,,0
1912-01-01,Lazio,,0
1912-01-01,Fiorentina,,0
1912-01-01,Sampdoria,,0
1912-01-01,Hellas Verona,,0
1912-01-01,Cagliari,,0
1912-01-01,Casale,,0
1912-01-01,Novese,,0
,,,
1913-01-01,Juventus,,1
1913-01-01,Inter,,1
1913-01-01,Milan,,3
1913-01-01,Genoa,,6
1913-01-01,Bologna,,0
1913-01-01,Torino,,0
1913-01-01,Pro Vercelli,,5
1913-01-01,Roma,,0
1913-01-01,Napoli,,0
1913-01-01,Lazio,,0
1913-01-01,Fiorentina,,0
1913-01-01,Sampdoria,,0
1913-01-01,Hellas Verona,,0
1913-01-01,Cagliari,,0
1913-01-01,Casale,,0
1913-01-01,Novese,,0
,,,
1914-01-01,Juventus,,1
1914-01-01,Inter,,1
1914-01-01,Milan,,3
1914-01-01,Genoa,,6
1914-01-01,Bologna,,0
1914-01-01,Torino,,0
1914-01-01,Pro Vercelli,,5
1914-01-01,Roma,,0
1914-01-01,Napoli,,0
1914-01-01,Lazio,,0
1914-01-01,Fiorentina,,0
1914-01-01,Sampdoria,,0
1914-01-01,Hellas Verona,,0
1914-01-01,Cagliari,,0
1914-01-01,Casale,,1
1914-01-01,Novese,,0
,,,
1915-01-01,Juventus,,1
1915-01-01,Inter,,1
1915-01-01,Milan,,3
1915-01-01,Genoa,,7
1915-01-01,Bologna,,0
1915-01-01,Torino,,0
1915-01-01,Pro Vercelli,,5
1915-01-01,Roma,,0
1915-01-01,Napoli,,0
1915-01-01,Lazio,,0
1915-01-01,Fiorentina,,0
1915-01-01,Sampdoria,,0
1915-01-01,Hellas Verona,,0
1915-01-01,Cagliari,,0
1915-01-01,Casale,,1
1915-01-01,Novese,,0
,,,
1920-01-01,Juventus,,1
1920-01-01,Inter,,2
1920-01-01,Milan,,3
1920-01-01,Genoa,,7
1920-01-01,Bologna,,0
1920-01-01,Torino,,0
1920-01-01,Pro Vercelli,,5
1920-01-01,Roma,,0
1920-01-01,Napoli,,0
1920-01-01,Lazio,,0
1920-01-01,Fiorentina,,0
1920-01-01,Sampdoria,,0
1920-01-01,Hellas Verona,,0
1920-01-01,Cagliari,,0
1920-01-01,Casale,,1
1920-01-01,Novese,,0
,,,
1921-01-01,Juventus,,1
1921-01-01,Inter,,2
1921-01-01,Milan,,3
1921-01-01,Genoa,,7
1921-01-01,Bologna,,0
1921-01-01,Torino,,0
1921-01-01,Pro Vercelli,,6
1921-01-01,Roma,,0
1921-01-01,Napoli,,0
1921-01-01,Lazio,,0
1921-01-01,Fiorentina,,0
1921-01-01,Sampdoria,,0
1921-01-01,Hellas Verona,,0
1921-01-01,Cagliari,,0
1921-01-01,Casale,,1
1921-01-01,Novese,,0
,,,
1922-01-01,Juventus,,1
1922-01-01,Inter,,2
1922-01-01,Milan,,3
1922-01-01,Genoa,,7
1922-01-01,Bologna,,0
1922-01-01,Torino,,0
1922-01-01,Pro Vercelli,,7
1922-01-01,Roma,,0
1922-01-01,Napoli,,0
1922-01-01,Lazio,,0
1922-01-01,Fiorentina,,0
1922-01-01,Sampdoria,,0
1922-01-01,Hellas Verona,,0
1922-01-01,Cagliari,,0
1922-01-01,Casale,,1
1922-01-01,Novese,,1
,,,
1923-01-01,Juventus,,1
1923-01-01,Inter,,2
1923-01-01,Milan,,3
1923-01-01,Genoa,,8
1923-01-01,Bologna,,0
1923-01-01,Torino,,0
1923-01-01,Pro Vercelli,,7
1923-01-01,Roma,,0
1923-01-01,Napoli,,0
1923-01-01,Lazio,,0
1923-01-01,Fiorentina,,0
1923-01-01,Sampdoria,,0
1923-01-01,Hellas Verona,,0
1923-01-01,Cagliari,,0
1923-01-01,Casale,,1
1923-01-01,Novese,,1
,,,
1924-01-01,Juventus,,1
1924-01-01,Inter,,2
1924-01-01,Milan,,3
1924-01-01,Genoa,,9
1924-01-01,Bologna,,0
1924-01-01,Torino,,0
1924-01-01,Pro Vercelli,,7
1924-01-01,Roma,,0
1924-01-01,Napoli,,0
1924-01-01,Lazio,,0
1924-01-01,Fiorentina,,0
1924-01-01,Sampdoria,,0
1924-01-01,Hellas Verona,,0
1924-01-01,Cagliari,,0
1924-01-01,Casale,,1
1924-01-01,Novese,,1
,,,
1925-01-01,Juventus,,1
1925-01-01,Inter,,2
1925-01-01,Milan,,3
1925-01-01,Genoa,,9
1925-01-01,Bologna,,1
1925-01-01,Torino,,0
1925-01-01,Pro Vercelli,,7
1925-01-01,Roma,,0
1925-01-01,Napoli,,0
1925-01-01,Lazio,,0
1925-01-01,Fiorentina,,0
1925-01-01,Sampdoria,,0
1925-01-01,Hellas Verona,,0
1925-01-01,Cagliari,,0
1925-01-01,Casale,,1
1925-01-01,Novese,,1
,,,
1926-01-01,Juventus,,2
1926-01-01,Inter,,2
1926-01-01,Milan,,3
1926-01-01,Genoa,,9
1926-01-01,Bologna,,1
1926-01-01,Torino,,0
1926-01-01,Pro Vercelli,,7
1926-01-01,Roma,,0
1926-01-01,Napoli,,0
1926-01-01,Lazio,,0
1926-01-01,Fiorentina,,0
1926-01-01,Sampdoria,,0
1926-01-01,Hellas Verona,,0
1926-01-01,Cagliari,,0
1926-01-01,Casale,,1
1926-01-01,Novese,,1
,,,
1927-01-01,Juventus,,2
1927-01-01,Inter,,2
1927-01-01,Milan,,3
1927-01-01,Genoa,,9
1927-01-01,Bologna,,1
1927-01-01,Torino,,0
1927-01-01,Pro Vercelli,,7
1927-01-01,Roma,,0
1927-01-01,Napoli,,0
1927-01-01,Lazio,,0
1927-01-01,Fiorentina,,0
1927-01-01,Sampdoria,,0
1927-01-01,Hellas Verona,,0
1927-01-01,Cagliari,,0
1927-01-01,Casale,,1
1927-01-01,Novese,,1
,,,
1928-01-01,Juventus,,2
1928-01-01,Inter,,2
1928-01-01,Milan,,3
1928-01-01,Genoa,,9
1928-01-01,Bologna,,1
1928-01-01,Torino,,1
1928-01-01,Pro Vercelli,,7
1928-01-01,Roma,,0
1928-01-01,Napoli,,0
1928-01-01,Lazio,,0
1928-01-01,Fiorentina,,0
1928-01-01,Sampdoria,,0
1928-01-01,Hellas Verona,,0
1928-01-01,Cagliari,,0
1928-01-01,Casale,,1
1928-01-01,Novese,,1
,,,
1929-01-01,Juventus,,2
1929-01-01,Inter,,2
1929-01-01,Milan,,3
1929-01-01,Genoa,,9
1929-01-01,Bologna,,2
1929-01-01,Torino,,1
1929-01-01,Pro Vercelli,,7
1929-01-01,Roma,,0
1929-01-01,Napoli,,0
1929-01-01,Lazio,,0
1929-01-01,Fiorentina,,0
1929-01-01,Sampdoria,,0
1929-01-01,Hellas Verona,,0
1929-01-01,Cagliari,,0
1929-01-01,Casale,,1
1929-01-01,Novese,,1
,,,
1930-01-01,Juventus,,2
1930-01-01,Inter,,3
1930-01-01,Milan,,3
1930-01-01,Genoa,,9
1930-01-01,Bologna,,2
1930-01-01,Torino,,1
1930-01-01,Pro Vercelli,,7
1930-01-01,Roma,,0
1930-01-01,Napoli,,0
1930-01-01,Lazio,,0
1930-01-01,Fiorentina,,0
1930-01-01,Sampdoria,,0
1930-01-01,Hellas Verona,,0
1930-01-01,Cagliari,,0
1930-01-01,Casale,,1
1930-01-01,Novese,,1
,,,
1931-01-01,Juventus,,3
1931-01-01,Inter,,3
1931-01-01,Milan,,3
1931-01-01,Genoa,,9
1931-01-01,Bologna,,2
1931-01-01,Torino,,1
1931-01-01,Pro Vercelli,,7
1931-01-01,Roma,,0
1931-01-01,Napoli,,0
1931-01-01,Lazio,,0
1931-01-01,Fiorentina,,0
1931-01-01,Sampdoria,,0
1931-01-01,Hellas Verona,,0
1931-01-01,Cagliari,,0
1931-01-01,Casale,,1
1931-01-01,Novese,,1
,,,
1932-01-01,Juventus,,4
1932-01-01,Inter,,3
1932-01-01,Milan,,3
1932-01-01,Genoa,,9
1932-01-01,Bologna,,2
1932-01-01,Torino,,1
1932-01-01,Pro Vercelli,,7
1932-01-01,Roma,,0
1932-01-01,Napoli,,0
1932-01-01,Lazio,,0
1932-01-01,Fiorentina,,0
1932-01-01,Sampdoria,,0
1932-01-01,Hellas Verona,,0
1932-01-01,Cagliari,,0
1932-01-01,Casale,,1
1932-01-01,Novese,,1
,,,
1933-01-01,Juventus,,5
1933-01-01,Inter,,3
1933-01-01,Milan,,3
1933-01-01,Genoa,,9
1933-01-01,Bologna,,2
1933-01-01,Torino,,1
1933-01-01,Pro Vercelli,,7
1933-01-01,Roma,,0
1933-01-01,Napoli,,0
1933-01-01,Lazio,,0
1933-01-01,Fiorentina,,0
1933-01-01,Sampdoria,,0
1933-01-01,Hellas Verona,,0
1933-01-01,Cagliari,,0
1933-01-01,Casale,,1
1933-01-01,Novese,,1
,,,
1934-01-01,Juventus,,6
1934-01-01,Inter,,3
1934-01-01,Milan,,3
1934-01-01,Genoa,,9
1934-01-01,Bologna,,2
1934-01-01,Torino,,1
1934-01-01,Pro Vercelli,,7
1934-01-01,Roma,,0
1934-01-01,Napoli,,0
1934-01-01,Lazio,,0
1934-01-01,Fiorentina,,0
