date,name,category,value
1990-01-01,Argentina,South America,3.07356315436491
1990-01-01,Australia,Oceania,15.4371827741345
1990-01-01,Brazil,South America,1.31313162278407
1990-01-01,Canada,North America,15.1489693200763
1990-01-01,China,Asia,1.91454626338438
1990-01-01,France,Europe,6.13833638319543
1990-01-01,Germany,Europe,12.0265802780856
1990-01-01,India,Asia,0.647451316293756
1990-01-01,Indonesia,Asia,0.814355525959575
1990-01-01,Iran,Asia,3.55724665265993
1990-01-01,Italy,Europe,7.14505342455223
1990-01-01,Japan,Asia,8.83159834140495
1990-01-01,Republic of Korea,Asia,5.77746541737122
1990-01-01,Mexico,South America,3.29875169033623
1990-01-01,Russia,Europe,14.6214892920399
1990-01-01,Saudi Arabia,Asia,10.7095181603127
1990-01-01,Spain,Europe,5.5303681586295
1990-01-01,Turkey,Asia,2.56235800281945
1990-01-01,United Kingdom,Europe,9.81306879909312
1990-01-01,United States,North America,19.4073358624806
1991-01-01,Argentina,South America,3.1990381855872
1991-01-01,Australia,Oceania,15.3152712711313
1991-01-01,Brazil,South America,1.34002976265688
1991-01-01,Canada,North America,14.7409640402006
1991-01-01,China,Asia,2.00054328368585
1991-01-01,France,Europe,6.50114501834664
1991-01-01,Germany,Europe,11.6548268065837
1991-01-01,India,Asia,0.683086373096417
1991-01-01,Indonesia,Asia,0.875665864708233
1991-01-01,Iran,Asia,3.77820079063118
1991-01-01,Italy,Europe,7.11917951491372
1991-01-01,Japan,Asia,8.90549917718047
1991-01-01,Republic of Korea,Asia,6.34688143655084
1991-01-01,Mexico,South America,3.45519242913108
1991-01-01,Russia,Europe,14.3970860697158
1991-01-01,Saudi Arabia,Asia,11.2838828898957
1991-01-01,Spain,Europe,5.69977818825133
1991-01-01,Turkey,Asia,2.59929598020808
1991-01-01,United Kingdom,Europe,9.93787764216625
1991-01-01,United States,North America,19.0033895826169
1992-01-01,Argentina,South America,3.21497210834572
1992-01-01,Australia,Oceania,15.3539735797446
1992-01-01,Brazil,South America,1.33331845207455
1992-01-01,Canada,North America,15.0281390353281
1992-01-01,China,Asia,2.07574040533233
1992-01-01,France,Europe,6.26433401983074
1992-01-01,Germany,Europe,11.0737594003259
1992-01-01,India,Asia,0.690074050365449
1992-01-01,Indonesia,Asia,0.909084853576623
1992-01-01,Iran,Asia,3.93537083194211
1992-01-01,Italy,Europe,7.08265724965789
1992-01-01,Japan,Asia,8.96150371709865
1992-01-01,Republic of Korea,Asia,6.79002829891825
1992-01-01,Mexico,South America,3.4318348237983
1992-01-01,Russia,Europe,13.6719762392161
1992-01-01,Saudi Arabia,Asia,11.6907359668082
1992-01-01,Spain,Europe,5.93420167714205
1992-01-01,Turkey,Asia,2.66060000635501
1992-01-01,United Kingdom,Europe,9.68881043935747
1992-01-01,United States,North America,19.0228451468536
1993-01-01,Argentina,South America,3.24024222946087
1993-01-01,Australia,Oceania,15.4817052728898
1993-01-01,Brazil,South America,1.35861090138514
1993-01-01,Canada,North America,14.713309128149
